category_code,country_code,state_code,age,success,number_degrees
mobile,other,other,1097.0,0,
advertising,USA,other,1.0,0,
biotech,USA,California,366.0,0,20.0
hardware,USA,other,1.0,0,
finance,other,other,284.0,0,
advertising,other,other,1.0,0,
biotech,USA,other,366.0,0,
enterprise,USA,California,731.0,0,
health,USA,other,1.0,0,
software,other,other,1006.0,0,6.0
photo_video,USA,other,32.0,0,
mobile,other,other,6.0,0,
analytics,USA,other,93.0,0,
software,USA,other,366.0,0,
mobile,other,other,884.0,0,
advertising,other,other,366.0,0,
fashion,USA,other,366.0,0,
software,USA,other,1097.0,0,
web,USA,California,1281.0,0,
games_video,USA,California,1.0,0,
games_video,other,other,314.0,0,
advertising,USA,California,1431.0,0,
mobile,USA,California,1.0,0,
ecommerce,USA,California,433.0,0,
web,USA,California,1445.0,1,
public_relations,USA,California,736.0,1,
web,USA,California,1.0,0,
analytics,USA,other,885.0,0,
enterprise,other,other,976.0,0,
web,other,other,1.0,0,
hospitality,other,other,523.0,0,
advertising,other,other,731.0,0,
software,other,other,478.0,0,
health,USA,other,1097.0,0,
mobile,USA,California,660.0,1,15.0
web,USA,other,1097.0,0,
public_relations,USA,other,813.0,0,
advertising,USA,other,366.0,0,
software,USA,other,1097.0,0,
software,other,other,1425.0,0,
web,USA,California,1.0,0,
security,other,other,1.0,0,
medical,USA,other,1097.0,0,
web,USA,other,884.0,0,
public_relations,other,other,1189.0,0,
security,other,other,366.0,0,
ecommerce,other,other,397.0,0,
web,USA,other,1.0,0,
web,USA,other,915.0,0,
web,USA,other,1.0,0,
software,other,other,1219.0,0,
games_video,other,other,1.0,0,
enterprise,USA,other,366.0,0,
consulting,USA,other,1.0,0,
software,other,other,154.0,0,
software,USA,other,1213.0,0,
software,other,other,1.0,0,
finance,other,other,731.0,0,
advertising,other,other,458.0,0,
software,other,other,1030.0,0,
enterprise,other,other,1431.0,0,
ecommerce,USA,other,1.0,0,
health,USA,California,1.0,0,
software,other,other,366.0,0,
mobile,USA,other,366.0,0,
mobile,USA,other,185.0,0,
automotive,other,other,1.0,0,
hardware,USA,other,731.0,0,
software,other,other,335.0,0,
social,USA,California,32.0,0,
ecommerce,other,other,1.0,0,
mobile,USA,other,1.0,0,
social,other,other,609.0,1,
web,USA,other,246.0,0,
medical,USA,California,62.0,0,
analytics,USA,other,366.0,0,
analytics,USA,California,307.0,0,
ecommerce,USA,California,1228.0,0,
cleantech,other,other,190.0,0,
web,other,other,215.0,0,
nonprofit,USA,California,731.0,0,
finance,other,other,357.0,0,
hospitality,other,other,62.0,0,
enterprise,USA,other,611.0,0,
ecommerce,USA,other,120.0,0,
advertising,other,other,115.0,0,
finance,USA,other,458.0,0,
software,USA,California,154.0,0,
software,other,other,93.0,0,
software,USA,other,93.0,0,
hospitality,USA,other,726.0,0,
web,USA,other,606.0,1,
cleantech,other,other,62.0,0,
advertising,other,other,731.0,0,
advertising,USA,California,821.0,0,
advertising,USA,other,1.0,0,
web,USA,California,32.0,0,
web,USA,California,67.0,1,
web,USA,California,893.0,1,
enterprise,USA,California,32.0,0,
games_video,USA,California,1.0,0,
ecommerce,other,other,366.0,0,
biotech,USA,other,1.0,0,
messaging,USA,other,1.0,0,
finance,USA,other,71.0,0,
advertising,USA,other,425.0,1,
software,USA,California,206.0,0,
ecommerce,USA,California,916.0,0,
enterprise,USA,other,1.0,0,
mobile,USA,other,335.0,0,
ecommerce,USA,California,427.0,0,
web,USA,California,19.0,0,
enterprise,USA,other,276.0,0,
travel,USA,other,1.0,0,
ecommerce,USA,California,366.0,0,
mobile,USA,other,1.0,0,
web,USA,other,1097.0,0,
games_video,USA,California,123.0,0,
ecommerce,other,other,807.0,0,
ecommerce,USA,other,237.0,0,
games_video,USA,California,1281.0,0,
web,USA,California,1.0,0,
medical,USA,other,795.0,0,
cleantech,USA,other,731.0,0,
social,other,other,665.0,0,
web,USA,other,1148.0,0,
fashion,other,other,458.0,0,
games_video,other,other,1431.0,0,
games_video,other,other,0.0,0,
software,USA,other,215.0,0,
finance,other,other,215.0,0,
public_relations,other,other,1097.0,0,
hardware,USA,other,1.0,0,
biotech,other,other,366.0,0,
ecommerce,USA,other,60.0,0,
other,other,other,516.0,1,
ecommerce,other,other,366.0,0,
software,other,other,1131.0,0,
music,other,other,90.0,0,
mobile,USA,California,1066.0,0,
software,USA,other,672.0,0,
security,other,other,1.0,0,
education,USA,other,731.0,0,
software,USA,other,1097.0,0,
software,USA,other,1097.0,0,
advertising,USA,other,62.0,0,
